BaseFormulaName,FormulaType,Description,TemplateName, Inputs
WFM_PERIOD_MINIMUM_TIME_ENTRY_RULE_AP,WORKFORCE_MANAGEMENT_TIME_ENTRY_RULES,Formula that validates if reported time entries are less than a defined minimum hours value.,Period Minimum Hours AP Template
WFM_PERIOD_MAXIMUM_TIME_ENTRY_RULE_AP,WORKFORCE_MANAGEMENT_TIME_ENTRY_RULES,Formula that validates if reported time entries are greater than a defined maximum hours value.,Period Maximum Hours AP Template
WFM_THRESHOLD_W_ABS_TIME_CALCULATION_RULE_AP,WORKFORCE_MANAGEMENT_TIME_CALCULATION_RULES,Formula that divides defined daily or weekly reported and absence time into calculated time attributes for values above and below a defined threshold hours value.,Daily Threshold with Absences AP Template | Weekly Threshold with Absences AP Template
WFM_THRESHOLD_TIME_CALCULATION_RULE_AP,WORKFORCE_MANAGEMENT_TIME_CALCULATION_RULES,Formula that divides defined daily or weekly reported time into calculated time attributes for values above and below a defined threshold hours value.,Daily Threshold AP Template | Weekly Threshold AP Template
WFM_TER_VALIDATE_REST_PERIOD_DURATION_AP,WORKFORCE_MANAGEMENT_TIME_ENTRY_RULES,Back to back shift which have insufficient rest periods between shifts,Compare Rest Between Shifts Template
WFM_TDR_VALIDATE_REST_PERIOD_DURATION_AP,WORKFORCE_MANAGEMENT_TIME_DEVICE_RULES,Back to back shift which have insufficient rest periods between shifts,Compare Rest Between Time Events Template
WFM_TCR_INSUFFICIENT_REST_PERIOD_PREMIUM_AP,WORKFORCE_MANAGEMENT_TIME_CALCULATION_RULES,Back to back shift which have insufficient rest periods between shifts,Insufficient Rest Premium Template
WFM_TDR_VALIDATE_SUPPLIER_EVENT_AP,WORKFORCE_MANAGEMENT_TIME_DEVICE_RULES,Ensure that specific time device events are reviewed prior to acceptance.,Validate Time Event Template
WFM_TSR_SUBMIT_OR_SAVE_ON_NUMBER_OF_HOURS_AP,WORKFORCE_MANAGEMENT_TIME_SUBMISSION_RULES,Compare total time to rule parameters. Send Submit or Save Action code.,Number of Hours Submission Template
WFM_TSR_SUBMIT_OR_SAVE_ON_NUMBER_OF_DEVICE_EVENTS_AP,WORKFORCE_MANAGEMENT_TIME_SUBMISSION_RULES,Compare total entries to rule parameters. Send Submit Action Code, Save Action.,Number of Time Entries Template
WFM_TDR_VALIDATE_SCHEDULE_DEVIATION_AP,WORKFORCE_MANAGEMENT_TIME_DEVICE_RULES,Compare start time, Stop time or duration to DBI scheduled times,Validate Schedule Deviation Template
WFM_TSR_SUBMIT_OR_SAVE_ON_WORK_SCHEDULE_AP,WORKFORCE_MANAGEMENT_TIME_SUBMISSION_RULES,Compare total time to published and work schedule,Work Schedule Submission Template
WFM_TSR_SUBMIT_OR_SAVE_ON_SPECIFIC_DAY_AP,WORKFORCE_MANAGEMENT_TIME_SUBMISSION_RULES,Compare time entries to a specific day of week.,Specific Day Submission Template
WFM_TER_COMPARE_WRKR_HOLIDAY_TO_REPORTED_HOURS_AP,WORKFORCE_MANAGEMENT_TIME_ENTRY_RULES,Compare holiday to reported time,Holiday Reported Hours Template
WFM_TCR_THRESHOLD_TWO_TIER_SEVEN_DAY_AP,WORKFORCE_MANAGEMENT_TIME_CALCULATION_RULES,Divides reported daily, period, and seventh-consecutive-day time entries into calculated time attributes for hours above and below defined threshold hours.,Day Periods and Seventh Day Threshold Template
ORA_WFM_TCR_ALLOCATION_TIME_AP,WORKFORCE_MANAGEMENT_TIME_CALCULATION_RULES,The formula will use Time Allocation to distribute and calculate time based on the defined time category and allocation.,Time Allocation Template
ORA_WFM_TCR_COST_OVERRIDE_AP,WORKFORCE_MANAGEMENT_TIME_CALCULATION_RULES,Apply cost overrides to calculated time entries,Apply Cost Overrides to Calculated Entries
WFM_TER_SIMPLE_BREAK_RULE_AP,WORKFORCE_MANAGEMENT_TIME_ENTRY_RULES,Evaluates the type of validation message to show when a day’s reported time entries total to more than the specified threshold, and there’s no break reported for the day.,BREAK_TAKEN_WITH_ERROR_VALIDATION | BREAK_TAKEN_WITH_WARNING_VALIDATION
ORA_WFM_TCR_UNPAID_BREAK_DURATION_AP,WORKFORCE_MANAGEMENT_TIME_CALCULATION_RULES,Formula that subtracts the time not worked entry for the scheduled shift from a reported time entry's calculated duration if the entries match shift.,SUBTRACT_UNPAID_BREAK_IN_SHIFT_FROM_CALCULATED_DURATION
